1808;ACKR1;atypical chemokine receptor 1 (Duffy blood group)
1810;FYN;FYN proto-oncogene, Src family tyrosine kinase
1819;GAB1;GRB2 associated binding protein 1
1866;GAS1;growth arrest specific 1
1869;GAS8;growth arrest specific 8
1872;GATA3;GATA binding protein 3
1946;GLB1;galactosidase beta 1
1951;GCLC;glutamate-cysteine ligase catalytic subunit
1953;GLDC;glycine decarboxylase
1957;GLI2;GLI family zinc finger 2
1979;GNAI1;G protein subunit alpha i1
1985;GNAS;GNAS complex locus
2012;GP1BA;glycoprotein Ib platelet subunit alpha
2013;GP1BB;glycoprotein Ib platelet subunit beta
2016;GP9;glycoprotein IX platelet
2032;CXCR3;C-X-C motif chemokine receptor 3
2061;GRK5;G protein-coupled receptor kinase 5
2082;GRID1;glutamate ionotropic receptor delta type subunit 1
2096;NR3C1;nuclear receptor subfamily 3 group C member 1
2126;GSTM1;glutathione S-transferase mu 1
2131;GSTP1;glutathione S-transferase pi 1
2132;GSTT1;glutathione S-transferase theta 1
2236;HEXB;hexosaminidase subunit beta
2258;HLA-B;major histocompatibility complex, class I, B
2265;HLA-DPA1;major histocompatibility complex, class II, DP alpha 1
2266;HLA-DPB1;major histocompatibility complex, class II, DP beta 1
2267;HLA-DPB2;major histocompatibility complex, class II, DP beta 2 (pseudogene)
2268;HLA-DQA1;major histocompatibility complex, class II, DQ alpha 1
2269;HLA-DQA2;major histocompatibility complex, class II, DQ alpha 2
2270;HLA-DQB1;major histocompatibility complex, class II, DQ beta 1
2274;HLA-DRB1;major histocompatibility complex, class II, DR beta 1
2276;HLA-DRB3;major histocompatibility complex, class II, DR beta 3
2278;HLA-DRB5;major histocompatibility complex, class II, DR beta 5
2281;HLA-DRB9;major histocompatibility complex, class II, DR beta 9 (pseudogene)
2284;HLA-G;major histocompatibility complex, class I, G
2291;HLX;H2.0 like homeobox
2304;HMOX1;heme oxygenase 1
2315;HNMT;histamine N-methyltransferase
2399;PRMT2;protein arginine methyltransferase 2
2400;PRMT1;protein arginine methyltransferase 1
2406;HSD11B2;hydroxysteroid 11-beta dehydrogenase 2
2457;TNC;tenascin C
2464;ICAM1;intercellular adhesion molecule 1
2488;IDS;iduronate 2-sulfatase
2500;IFNA1;interferon alpha 1
2516;IFNG;interferon gamma
2523;IGES;immunoglobulin E concentration, serum
2542;IGHE;immunoglobulin heavy constant epsilon
2571;IL1B;interleukin 1 beta
2572;IL1R1;interleukin 1 receptor type 1
2574;IL1RN;interleukin 1 receptor antagonist
2575;IL2;interleukin 2
2576;IL2RA;interleukin 2 receptor subunit alpha
2577;IL2RB;interleukin 2 receptor subunit beta
2581;IL4;interleukin 4
2582;IL4R;interleukin 4 receptor
2583;IL5;interleukin 5
2584;IL5RA;interleukin 5 receptor subunit alpha
2585;IL6;interleukin 6
2586;IL6R;interleukin 6 receptor
2589;IL7R;interleukin 7 receptor
2590;CXCL8;C-X-C motif chemokine ligand 8
2592;IL9;interleukin 9
2595;IL10;interleukin 10
2600;IL12A;interleukin 12A
2601;IL12B;interleukin 12B
2604;IL13;interleukin 13
2605;IL13RA1;interleukin 13 receptor subunit alpha 1
2611;IL17A;interleukin 17A
2612;IL18;interleukin 18
2626;INHA;inhibin subunit alpha
2630;CXCL10;C-X-C motif chemokine ligand 10
2633;INPP4A;inositol polyphosphate-4-phosphatase type I A
2655;IRF4;interferon regulatory factor 4
2667;ITGA4;integrin subunit alpha 4
2676;ITGAX;integrin subunit alpha X
2679;ITGB3;integrin subunit beta 3
2683;ITGB6;integrin subunit beta 6
2685;ITGB8;integrin subunit beta 8
2690;ITK;IL2 inducible T cell kinase
2694;ITPKA;inositol-trisphosphate 3-kinase A
2696;ITPR1;inositol 1,4,5-trisphosphate receptor type 1
2698;ITPR3;inositol 1,4,5-trisphosphate receptor type 3
2753;KCNMB1;potassium calcium-activated channel subfamily M regulatory beta subunit 1
2764;KDR;kinase insert domain receptor
2796;KIF11;kinesin family member 11
2817;KRT7;keratin 7
2828;KRT19;keratin 19
2833;KRT81;keratin 81
2848;LAMA5;laminin subunit alpha 5
2875;LEP;leptin
2876;LEPR;leptin receptor
2881;LGALS3;galectin 3
